公众号,发布日期,文章标题,文章链接,来源
"北大就业","2026-09-06","招聘 | 中信银行长沙分行2027年校园招聘","https://mp.weixin.qq.com/s/mg5b5P3P44A6tdHSnYHb1g","微信读书"
"北大就业","2026-09-06","招聘 | 中国能建2027届全球校园招聘","https://mp.weixin.qq.com/s/psgVkCCRYHAdYeSGIuJEzg","微信读书"
"北大就业","2026-09-06","招聘 | 赛轮集团2027届全球校园招聘正式启动","https://mp.weixin.qq.com/s/jGzfbffwy24_VeDkADtm1w","微信读书"
"北大就业","2026-09-06","用人单位邀请函丨10月22日 “京彩就业”北京大学2027届毕业生专场双选会（央国企、事业单位专场）","https://mp.weixin.qq.com/s/P1tWBsF8OdbwAOp48Tttwg","微信读书"
"北大就业","2026-09-05","招聘｜中证股转科技有限公司2026年校园招聘公告","https://mp.weixin.qq.com/s/ySxBreLD0Katj07VVa4vUw","微信读书"
"北大就业","2026-09-05","招聘｜中信兴业2027年校园招聘全面启动！","https://mp.weixin.qq.com/s/HSgHgf25mgmZBiBZAXuz9g","微信读书"
"北大就业","2026-09-05","招聘｜中电信量子集团2027校园招聘正式启动！","https://mp.weixin.qq.com/s/YJEhzzeQ_9E6Vk--sIJa5g","微信读书"
"北大就业","2026-09-05","招聘｜游酷盛世2027校园招聘正式启动！","https://mp.weixin.qq.com/s/GyeYYnvE0uO9rqtT2asjkw","微信读书"
"北大就业","2026-09-05","招聘｜平安科技2027全球校园招聘正式启动！","https://mp.weixin.qq.com/s/0pNfOOdKjbuKqTMqFG4tlg","微信读书"
"北大就业","2026-09-05","招聘｜嘉实基金2027届校园招聘全面开启！","https://mp.weixin.qq.com/s/S-IuqrhVMKla4FXtvlEYPQ","微信读书"
"北大就业","2026-09-05","招聘｜2027联通研究院校园招聘正式启动！","https://mp.weixin.qq.com/s/NdLHBhgwM32EYlQnb3jVlw","微信读书"
"北大就业","2026-09-04","招聘｜航天科工二院2027届校园招聘正式启动！","https://mp.weixin.qq.com/s/0XL2ZZYKhktz-JebaXGbRg","微信读书"
"北大就业","2026-09-04","招聘 | 中兴通讯2027届校园招聘正式启动","https://mp.weixin.qq.com/s/9Nu5ULenoVzyj_T8GIxNZg","微信读书"
"北大就业","2026-09-04","招聘 | 中国人民保险集团2027届统筹校园招聘正式启动！","https://mp.weixin.qq.com/s/4cK-XKS4-1rczP3l7obLoQ","微信读书"
