公众号,发布日期,文章标题,文章链接,来源
"国科大就业","2026-09-20","中粮集团2027届校园招聘正式启动","https://mp.weixin.qq.com/s/Awq0V9gdI9WGsZustVBLIw","微信读书"
"国科大就业","2026-09-20","招聘｜哈电电机2027届校园招聘正式启动","https://mp.weixin.qq.com/s/lYk4wJvEPDxqTsYhZkcuWA","微信读书"
"国科大就业","2026-09-20","招聘 | 招商银行信用卡2027届秋季校园招聘正式开启！","https://mp.weixin.qq.com/s/Ta7yj7ph7hdUe7TfSj7UmA","微信读书"
"国科大就业","2026-09-20","招聘 | 北京站 | 药明生物2027届校招—精英面对面","https://mp.weixin.qq.com/s/vA-XERXADKmvfN6XgGfjXA","微信读书"
"国科大就业","2026-09-20","用人单位邀请函 | 10月13日 中国科学院水生生物研究所专场招聘会邀您参加！","https://mp.weixin.qq.com/s/mNoDkqQ-f5DrluGgq4nGNg","微信读书"
"国科大就业","2026-09-20","宣讲会 | 9月24日 新安股份2027届校园招聘正式启动","https://mp.weixin.qq.com/s/3q268M_ed7bPsx4cNWenRg","微信读书"
"国科大就业","2026-09-20","宣讲会 | 9月24日 理工雷科2027校园招聘","https://mp.weixin.qq.com/s/mDqQxRsuC1supeqG71LNTw","微信读书"
"国科大就业","2026-09-20","活动预告 | 就业指导系列讲座——简历 面试指导","https://mp.weixin.qq.com/s/S-yxaWv1GALeK8PR99k1Iw","微信读书"
"国科大就业","2026-09-19","招聘 | 华能澜沧江水电股份有限公司2027年校园招聘正式启动！","https://mp.weixin.qq.com/s/-V06Nv_LHQbjVa4Z46iiDQ","微信读书"
"国科大就业","2026-09-19","招聘 | 北京全路通信信号研究设计院集团有限公司","https://mp.weixin.qq.com/s/K0w6i2OP2_YVCOML0CB5Zw","微信读书"
"国科大就业","2026-09-19","宣讲会 | 9月23日 中微公司2027「登峰计划」校园招聘全面启动","https://mp.weixin.qq.com/s/zXLB6GX1uSToQzfBGu6nHg","微信读书"
"国科大就业","2026-09-19","宣讲会 | 9月23日 中国移动九天人工智能科技公司2027秋季校园招聘正式启动！","https://mp.weixin.qq.com/s/6lTPrYOwpgsNqAKaA5sLPw","微信读书"
"国科大就业","2026-09-19","宣讲会 | 9月23日 算能2027届校招正式启动！","https://mp.weixin.qq.com/s/bYVG0_0l3S4Q1wxUsPt2cw","微信读书"
"国科大就业","2026-09-19","宣讲会 | 9月23日 华友钴业2027校园招聘正式启动！","https://mp.weixin.qq.com/s/Z5fsyDMwWuLrCTcX6ATvUQ","微信读书"
"国科大就业","2026-09-19","宣讲会 | 9月23日 国机金刚石(河南)有限公司2027届校园招聘正式启动！","https://mp.weixin.qq.com/s/VLzck4KQ-W87b33_DSgQug","微信读书"
"国科大就业","2026-09-19","宣讲会 | 9月23日 国防科技大学2026年度高层次科技创新人才招聘","https://mp.weixin.qq.com/s/Ahs_XOXJpk53eGMxxYlqgg","微信读书"
"国科大就业","2026-09-18","招聘 | MetaApp2027届秋季校园招聘&实习招聘正式启动！","https://mp.weixin.qq.com/s/3L6vdMPUYeAurcDoqSMVRQ","微信读书"
"国科大就业","2026-09-18","招聘 | 中欧基金2027届卓越之星校园招聘启动！","https://mp.weixin.qq.com/s/KcZ-DU1EhwmpdsCYTLbJxg","微信读书"
"国科大就业","2026-09-18","招聘 | 中国中化氯碱事业部2027年校园招聘正式启动！","https://mp.weixin.qq.com/s/y7ouWpaMac-txphiqEbUmw","微信读书"
"国科大就业","2026-09-18","招聘 | 贵州移动2027秋季校园招聘","https://mp.weixin.qq.com/s/EqAkRjZSM4t6nMFBtRfDOg","微信读书"
"国科大就业","2026-09-18","宣讲会｜9月22日 中冶京诚2027届校园招聘正式启动！","https://mp.weixin.qq.com/s/3uGF-XxWRYY-_gFfZDBCjg","微信读书"
"国科大就业","2026-09-18","宣讲会 | 9月22日 长江存储2027届全球校园招聘启动","https://mp.weixin.qq.com/s/5MKFL9xuCaHsynIi6bWtKw","微信读书"
"国科大就业","2026-09-18","宣讲+双选 | 9月22日 中国电信2027校园招聘全面启动！","https://mp.weixin.qq.com/s/DHhLJLhod9IqTDlJ2TlRHw","微信读书"
"国科大就业","2026-09-18","校外双选 | 9月22日“津彩未来 就在滨海”第五届滨城高层次人才招引大会“金秋引才季”暨“百日千万招聘”专项行动","https://mp.weixin.qq.com/s/flBR2OWen1qYvC2AH7mKow","微信读书"
"国科大就业","2026-09-17","宣讲会丨9月22日 中证股转科技有限公司2026年校园招聘","https://mp.weixin.qq.com/s/pr2h-P4zGYe4RneQmz08Zw","微信读书"
"国科大就业","2026-09-17","宣讲会丨9月22日 2027届沐曦股份校园招聘","https://mp.weixin.qq.com/s/X3UF8MrKyFxxxOaGFJbHZQ","微信读书"
"国科大就业","2026-09-17","宣讲会 | 9月22日 浪潮2027届校招|中国科学院大学校园宣讲会来啦！","https://mp.weixin.qq.com/s/9lLrfZmpuDqge1ABHKl7Kg","微信读书"
"国科大就业","2026-09-17","宣讲会 | 9月22日 酷睿程2027届校园招聘正式启动","https://mp.weixin.qq.com/s/yb_8_SyEMk5Lt86QDjzpzQ","微信读书"
"国科大就业","2026-09-17","宣讲会 | 9月22日 晶盛机电2027届秋季校园招聘全面启动！","https://mp.weixin.qq.com/s/VZ51vKENx-ox9wo0zS_OMQ","微信读书"
"国科大就业","2026-09-17","宣讲会 | 9月21日 “梦想靠岸”招商银行北京分行2027校园招聘","https://mp.weixin.qq.com/s/pN4xd_bOObosIZvabm7BXw","微信读书"
"国科大就业","2026-09-17","宣讲会 | 9月20日 云深处2027全球校招｜期待与你一起奔向智能新时代","https://mp.weixin.qq.com/s/NUpZvQbEIHUqn51aqeNMNg","微信读书"
"国科大就业","2026-09-17","活动预告 | 就业指导系列讲座——简历 面试指导","https://mp.weixin.qq.com/s/hsc5TL4AuvKwixP0UxSDfA","微信读书"
"国科大就业","2026-09-16","招聘｜北京农商银行2027年度“优培计划”招聘正式启动！","https://mp.weixin.qq.com/s/0-UASshNqYRF4a-Ynf4CjA","微信读书"
"国科大就业","2026-09-16","招聘 | 通用技术机床研究院2027年校园招聘","https://mp.weixin.qq.com/s/MVi8cy76Ve3w2yiPf45Jvw","微信读书"
