公众号,发布日期,文章标题,文章链接,来源
"西安交大就业创业","2026-09-21","2026年秋季学期“国际就业力”在线课程开放报名啦！","https://mp.weixin.qq.com/s/AVLtPUsucz0O8j7rLH6O4A","微信读书"
"西安交大就业创业","2026-09-21","【组团招聘】信息支援部队直招军官西安交通大学专场","https://mp.weixin.qq.com/s/89D86LbKPYd5-Ra2mV2wWw","微信读书"
"西安交大就业创业","2026-09-21","【组团招聘】国家能源投资集团2027届校园招聘","https://mp.weixin.qq.com/s/FHMSuqi6aZ8-ehj3L0Cclw","微信读书"
"西安交大就业创业","2026-09-21","【组团招聘】广州市 & 洛阳市秋季名企名校行西安交通大学站","https://mp.weixin.qq.com/s/WPZaCoras98sNTBPotdkpw","微信读书"
"西安交大就业创业","2026-09-21","【选调宣讲】四川省面向西安交通大学选调2027届优秀大学毕业生公告","https://mp.weixin.qq.com/s/4N7XgJKfuBGrQHiA_z4bUQ","微信读书"
"西安交大就业创业","2026-09-21","【宣讲】字节跳动 & 海尔智家2027届校园招聘","https://mp.weixin.qq.com/s/FC9GmOyzGR0MldkuIwMxIw","微信读书"
"西安交大就业创业","2026-09-21","【创新港宣讲】怀柔实验室2027年校园招聘","https://mp.weixin.qq.com/s/KAm8-Ybcu_Cly90qpzzebA","微信读书"
"西安交大就业创业","2026-09-21","【创新港宣讲】东方电气集团 & 东风商用车2027届校园招聘正式启动!","https://mp.weixin.qq.com/s/aydQqI9xL1bkFpDcN-eXyQ","微信读书"
"西安交大就业创业","2026-09-20","2026年秋季学期校园招聘及职业指导活动预告（9.21-9.27）","https://mp.weixin.qq.com/s/c82NAUKodCNAke0liVG3Uw","微信读书"
"西安交大就业创业","2026-09-20","【组团招聘】中国（上海）自由贸易试验区临港新片区2026年秋季校招引才系列活动","https://mp.weixin.qq.com/s/05R3dAj5IqVabZBQLokZjA","微信读书"
"西安交大就业创业","2026-09-20","【组团招聘】上海金山区 & 深圳龙岗区2026年秋季校招引才系列活动","https://mp.weixin.qq.com/s/lMSW9sHhB1vSTxpACD6F4Q","微信读书"
"西安交大就业创业","2026-09-20","【组团招聘】宁夏银川“百千万”人才留银川专项行动2026年秋季赴外引才活动","https://mp.weixin.qq.com/s/jOyE8OuIJaV_qPEe3klE-A","微信读书"
